,LAT,LONG,NUMBER_HYB,INDIVIDUAL1,TYPESNMF1,TYPESNAP1,INDIVIDUAL2,TYPESNMF2,TYPESNAP2,INDIVIDUAL3,TYPESNMF3,TYPESNAP3,CAMANO-PRESENT,CAMOLI-PRESENT,CAM-SUM,CAMHYBS
Z41,36.04162,-93.70483,3,CYPWHI_4102,CYPWHI-LYTUMB,LYTUMB-CYPWHI,LUXCHR_4110,LUXCHR-LUXPIL-CYPGAL,LYTUMB-LUXCHR,NOTBOO_4106,NOTBOO-NOTNUB,NOTBOO-NOTNUB,0,1,1,0
Z42,36.13102,-93.94767,2,CAMANO_4209,CAMANO-CAMOLI,CAMANO-CAMOLI,LUXPIL_4210,LUXPIL-LUXZON,NA,NA,NA,NA,1,1,2,1
Z43,36.04882,-93.9749,1,PIMNOT_4302,PIMNOT-SEMATR,PIMNOT-SEMATR,NA,NA,NA,NA,NA,NA,1,1,2,0
Z44,35.8285,-93.83217,1,LUXPIL_4407,LUXPIL-LUXZON,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z45,35.96977,-94.06695,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
Z46,35.98301,-94.17291,3,LUXPIL_4602,LUXPIL-LUXZON,NA,LUXPIL_4603,LUXPIL-LUXZON,NA,LUXPIL_4610,NA,LUXPIL-LYTUMB,1,1,2,0
Z47,36.42222,-93.40465,1,CAMANO_4701,CAMANO-CAMOLI,CAMANO-CAMOLI,NA,NA,NA,NA,NA,NA,1,1,2,1
Z48,36.25182,-93.44542,3,ETHJUL_4805,ETHJUL-ETHZON,ETHJUL-ETHFLA,LUXPIL_4804,NA,LUXPIL-LYTUMB,NOTBOO_4803,NOTBOO-LUXPIL-PIMNOT,LYTUMB-NOTBOO,0,1,1,0
Z49,36.39507,-93.63708,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
Z50,36.01029,-93.18442,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z51,36.5793,-91.0464,2,LUXZON_5106,LUXZON-LUXPIL,NA,NOTNUB_5106,NOTNUB-LUXPIL-SEMATR,NOTNUB-SEMATR,NA,NA,NA,1,1,2,0
Z52,36.82858,-90.81385,3,CAMANO_5202,CAMANO-LUXPIL,CAMANO-CHRERY,LUXCHR_5203,LUXCHR-LUXZON,LYTUMB-LUXCHR,LYTUMB_5210,LYTYUMB-NOTNUB-LUXPIL,LYTUMB-LUXCHR,1,0,1,0
Z53,37.35042,-90.67063,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z54,37.45043,-90.82758,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z55,37.35483,-90.97105,1,CAMANO_5506,CAMANO-CHRERY,CAMANO-CHRERY,NA,NA,NA,NA,NA,NA,1,1,2,0
Z56,37.34072,-91.11922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z57,37.38667,-91.35687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z58,37.45613,-91.69537,3,CAMANO_5801,CAMANO-CAMOLI,NA,LUXCHR_5802,NA,LUXCHR-SEMATR,LUXZON_5806,LUXZON-PIMNOT,LYTUMB-LUXZON,1,0,1,1
Z59,37.39322,-91.61367,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z60,37.07653,-91.73233,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z61,36.85519,-91.67677,1,NOTNUB_6111,NOTNUB-LUXPIL-NOTPER,NOTNUB-SEMATR,NA,NA,NA,NA,NA,NA,1,1,2,0
Z62,36.55238,-91.53942,1,LUXCHR_6202,LUXCHR-LUXZON,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
Z63,36.58188,-91.2373,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z64,36.51137,-91.85567,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z65,36.5505,-92.34367,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z66,36.85278,-92.34127,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0
Z67,36.88635,-92.47363,2,CAMANO_6701,CAMANO-CAMOLI,CAMANO-CAMOLI,LUXPIL_6702,NA,LUXPIL-LYTUMB,NA,NA,NA,1,0,1,1
Z68,37.02342,-92.76715,1,CAMANO_6801,CAMANO-CAMOLI,NA,NA,NA,NA,NA,NA,NA,1,0,1,1
Z69,37.04205,-93.1387,1,CAMOLI_6904,CAMOLI-LUXPIL-NOTNUB,LYTUMB-CAMOLI,NA,NA,NA,NA,NA,NA,1,1,2,0
Z70,37.24627,-92.8799,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z71,37.18145,-93.37052,1,CAMANO_7101,CAMANO-CAMOLI,NA,NA,NA,NA,NA,NA,NA,1,0,1,1
Z72,36.78593,-93.17478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z73,36.78707,-93.05963,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Z74,36.86595,-93.45745,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
Z75,36.8186,-93.78745,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0
